date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:24	366206/366206	---M-Z	200	added ('OK')	text/html	etag:%225967e-645b2f44-eba3445532ed2e8d;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/shop.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/shop.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:24	88679/88679	---M-Z	200	added ('OK')	text/html	etag:%2215a67-645b2f44-cd8230fbe048c58c;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/wishlist.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/wishlist.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:24	116304/116304	---M-Z	200	added ('OK')	text/html	etag:%221c650-645b2f44-cf464fd1e7ae5db7;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/profile.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/profile.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:25	186242/186242	---M-Z	200	added ('OK')	text/html	etag:%222d782-645b2f44-cd3ff97730e6ba54;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/product-details.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/product-details.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:25	24195/24195	---M--	200	added ('OK')	image/jpeg	etag:%225e83-6437c1f7-2843959c8a7fc64a;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/product/product-1.jpg	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/product/product-1.jpg	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:25	42931/42931	---M--	200	added ('OK')	image/png	etag:%22a7b3-6437c1f7-80e296ed9a045e32;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/product/cartmini/empty-cart.png	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/product/cartmini/empty-cart.png	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:26	89080/89080	---M-Z	200	added ('OK')	text/html	etag:%2215bf8-645b2f44-803380b3c4a4f598;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/checkout.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/checkout.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:26	82289/82289	---M-Z	200	added ('OK')	text/html	etag:%2214171-645b2f44-f813d9266e3fdaf4;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/login.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/login.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:26	83927/83927	---M-Z	200	added ('OK')	text/html	etag:%22147d7-645b2f44-e522661ddd93f261;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/compare.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/compare.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:26	15326/15326	---M--	200	added ('OK')	image/jpeg	etag:%223bde-6437c1f6-7e1dfbc7c922abfd;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/header/menu/menu-1.jpg	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/header/menu/menu-1.jpg	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:27	14949/14949	---M--	200	added ('OK')	image/jpeg	etag:%223a65-6437c1f6-1cc7ff1790739f06;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/header/menu/menu-2.jpg	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/header/menu/menu-2.jpg	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:27	90633/90633	---M-Z	200	added ('OK')	text/html	etag:%2216209-645b2f44-cfa1cfbef5683ec8;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/cart.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/cart.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:28	597314/597314	---M-Z	200	added ('OK')	text/html	etag:%2291d42-645b2f44-385337743fa2e8e9;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/index-2.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/index-2.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:28	15879/15879	---M--	200	added ('OK')	image/jpeg	etag:%223e07-6437c1f6-58e03418b22308a;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/header/menu/menu-3.jpg	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/header/menu/menu-3.jpg	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:29	431681/431681	---M-Z	200	added ('OK')	text/html	etag:%2269641-643b902f-2f64db32909c2876;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/index-3.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/index-3.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:29	188334/188334	---M--	200	added ('OK')	image/jpeg	etag:%222dfae-6437c1f6-b94e7884eb0bc320;;;%22	https://html.weblearnbd.net/shofy-prv/shofy/assets/img/menu/menu-home-1.jpg	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/assets/img/menu/menu-home-1.jpg	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
13:49:29	580403/580403	---M-Z	200	added ('OK')	text/html	etag:%228db33-643b902f-989541002dc08b12;gz%22	https://html.weblearnbd.net/shofy-prv/shofy/index-4.html	C:/My%20Web%20Sites/shofy/html.weblearnbd.net/shofy-prv/shofy/index-4.html	(from https://html.weblearnbd.net/shofy-prv/shofy/index.html)
